src,dst,edge_type
sigma70,RDBECOLIPMC00227,BINDS
sigma70,RDBECOLIPMC00231,BINDS
sigma70,RDBECOLIPMC03536,BINDS
sigma70,RDBECOLIPMC03536,BINDS
sigma70,RDBECOLIPMC00234,BINDS
sigma70,RDBECOLIPMC00251,BINDS
sigma70,RDBECOLIPMC00252,BINDS
sigma70,RDBECOLIPMC00255,BINDS
sigma70,RDBECOLIPMC00265,BINDS
sigma70,RDBECOLIPMC00271,BINDS
sigma70,RDBECOLIPMC00274,BINDS
sigma70,RDBECOLIPMC00275,BINDS
sigma70,RDBECOLIPMC00280,BINDS
sigma70,RDBECOLIPMC00281,BINDS
sigma70,RDBECOLIPMC00284,BINDS
sigma70,RDBECOLIPMC00287,BINDS
sigma70,RDBECOLIPMC00301,BINDS
sigma70,RDBECOLIPMC00362,BINDS
sigma70,RDBECOLIPMC00303,BINDS
sigma70,RDBECOLIPMC00318,BINDS
sigma70,RDBECOLIPMC00319,BINDS
sigma70,RDBECOLIPMC00320,BINDS
sigma70,RDBECOLIPMC00321,BINDS
sigma70,RDBECOLIPMC00322,BINDS
sigma70,RDBECOLIPMC00323,BINDS
sigma54,RDBECOLIPMC00324,BINDS
sigma54,RDBECOLIPMC00327,BINDS
sigma54,RDBECOLIPMC00332,BINDS
sigma54,RDBECOLIPMC00333,BINDS
sigma54,RDBECOLIPMC00334,BINDS
sigma54,RDBECOLIPMC00335,BINDS
sigma70,RDBECOLIPMC00336,BINDS
sigma54,RDBECOLIPMC00337,BINDS
sigma54,RDBECOLIPMC00338,BINDS
sigma70,RDBECOLIPMC00339,BINDS
sigma70,RDBECOLIPMC00342,BINDS
sigma70,RDBECOLIPMC00343,BINDS
sigma28,RDBECOLIPMC00350,BINDS
sigma28,RDBECOLIPMC00352,BINDS
sigma28,RDBECOLIPMC00354,BINDS
sigma28,RDBECOLIPMC00355,BINDS
sigma28,RDBECOLIPMC00356,BINDS
sigma28,RDBECOLIPMC00357,BINDS
sigma70,RDBECOLIPMC00361,BINDS
sigma70,RDBECOLIPMC00364,BINDS
sigma70,RDBECOLIPMC00366,BINDS
sigma70,RDBECOLIPMC00366,BINDS
sigma70,RDBECOLIPMC00367,BINDS
sigma70,RDBECOLIPMC00368,BINDS
sigma70,RDBECOLIPMC00369,BINDS
sigma70,RDBECOLIPMC03638,BINDS
sigma70,RDBECOLIPMC00416,BINDS
sigma28,RDBECOLIPMC00418,BINDS
sigma28,RDBECOLIPMC00419,BINDS
sigma28,RDBECOLIPMC00421,BINDS
sigma28,RDBECOLIPMC00422,BINDS
sigma28,RDBECOLIPMC00423,BINDS
sigma28,RDBECOLIPMC00424,BINDS
sigma28,RDBECOLIPMC00425,BINDS
sigma28,RDBECOLIPMC00426,BINDS
sigma28,RDBECOLIPMC00427,BINDS
sigma70,RDBECOLIPMC03679,BINDS
sigma70,RDBECOLIPMC03680,BINDS
sigma70,RDBECOLIPMC00428,BINDS
sigma70,RDBECOLIPMC03612,BINDS
sigma70,RDBECOLIPMC00430,BINDS
sigma32,RDBECOLIPMC00431,BINDS
sigma70,RDBECOLIPMC03926,BINDS
sigma70,RDBECOLIPMC03930,BINDS
sigma70,RDBECOLIPMC03766,BINDS
sigma38,RDBECOLIPMC03767,BINDS
sigma70,RDBECOLIPMC00432,BINDS
sigma70,RDBECOLIPMC00433,BINDS
sigma70,RDBECOLIPMC00434,BINDS
sigma70,RDBECOLIPMC00436,BINDS
sigma70,RDBECOLIPMC00437,BINDS
sigma70,RDBECOLIPMC00438,BINDS
sigma70,RDBECOLIPMC00440,BINDS
sigma70,RDBECOLIPMC00441,BINDS
sigma70,RDBECOLIPMC00442,BINDS
sigma70,RDBECOLIPMC00443,BINDS
sigma70,RDBECOLIPMC00445,BINDS
sigma70,RDBECOLIPMC00446,BINDS
sigma70,RDBECOLIPMC03911,BINDS
sigma70,RDBECOLIPMC03912,BINDS
sigma70,RDBECOLIPMC03751,BINDS
sigma24,RDBECOLIPMC02748,BINDS
sigma24,RDBECOLIPMC02749,BINDS
sigma70,RDBECOLIPMC02750,BINDS
sigma70,RDBECOLIPMC02751,BINDS
sigma70,RDBECOLIPMC00733,BINDS
sigma38,RDBECOLIPMC02755,BINDS
sigma24,RDBECOLIPMC03053,BINDS
sigma70,RDBECOLIPMC00448,BINDS
sigma70,RDBECOLIPMC00449,BINDS
sigma70,RDBECOLIPMC00450,BINDS
sigma70,RDBECOLIPMC00452,BINDS
sigma70,RDBECOLIPMC00453,BINDS
sigma70,RDBECOLIPMC00454,BINDS
sigma70,RDBECOLIPMC00455,BINDS
sigma38,RDBECOLIPMC00456,BINDS
sigma70,RDBECOLIPMC00457,BINDS
sigma70,RDBECOLIPMC00458,BINDS
sigma70,RDBECOLIPMC00460,BINDS
sigma70,RDBECOLIPMC00461,BINDS
sigma70,RDBECOLIPMC00462,BINDS
sigma70,RDBECOLIPMC03915,BINDS
sigma70,RDBECOLIPMC00463,BINDS
sigma70,RDBECOLIPMC00464,BINDS
sigma70,RDBECOLIPMC00465,BINDS
sigma32,RDBECOLIPMC03769,BINDS
sigma70,RDBECOLIPMC03770,BINDS
sigma70,RDBECOLIPMC03771,BINDS
sigma70,RDBECOLIPMC03772,BINDS
sigma70,RDBECOLIPMC03773,BINDS
sigma70,RDBECOLIPMC00466,BINDS
sigma70,RDBECOLIPMC03683,BINDS
sigma70,RDBECOLIPMC00470,BINDS
sigma70,RDBECOLIPMC03634,BINDS
sigma70,RDBECOLIPMC00471,BINDS
sigma38,RDBECOLIPMC00472,BINDS
sigma70,RDBECOLIPMC00473,BINDS
sigma70,RDBECOLIPMC03712,BINDS
sigma70,RDBECOLIPMC03711,BINDS
sigma70,RDBECOLIPMC00474,BINDS
sigma70,RDBECOLIPMC00475,BINDS
sigma70,RDBECOLIPMC00590,BINDS
sigma70,RDBECOLIPMC03703,BINDS
sigma70,RDBECOLIPMC03704,BINDS
sigma70,RDBECOLIPMC00477,BINDS
sigma70,RDBECOLIPMC03917,BINDS
sigma38,RDBECOLIPMC00478,BINDS
sigma70,RDBECOLIPMC00480,BINDS
sigma70,RDBECOLIPMC00482,BINDS
sigma70,RDBECOLIPMC00483,BINDS
sigma70,RDBECOLIPMC00484,BINDS
sigma70,RDBECOLIPMC00485,BINDS
sigma70,RDBECOLIPMC00486,BINDS
sigma38,RDBECOLIPMC00487,BINDS
sigma70,RDBECOLIPMC00489,BINDS
sigma70,RDBECOLIPMC00490,BINDS
sigma70,RDBECOLIPMC02057,BINDS
sigma24,RDBECOLIPMC00528,BINDS
sigma24,RDBECOLIPMC00539,BINDS
sigma24,RDBECOLIPMC00550,BINDS
sigma24,RDBECOLIPMC00561,BINDS
sigma24,RDBECOLIPMC00571,BINDS
sigma24,RDBECOLIPMC00574,BINDS
sigma32,RDBECOLIPMC00575,BINDS
sigma24,RDBECOLIPMC00576,BINDS
sigma24,RDBECOLIPMC00577,BINDS
sigma70,RDBECOLIPMC00578,BINDS
sigma24,RDBECOLIPMC00579,BINDS
sigma54,RDBECOLIPMC00580,BINDS
sigma54,RDBECOLIPMC00581,BINDS
sigma54,RDBECOLIPMC00582,BINDS
sigma54,RDBECOLIPMC00583,BINDS
sigma54,RDBECOLIPMC00584,BINDS
sigma70,RDBECOLIPMC00496,BINDS
sigma70,RDBECOLIPMC00499,BINDS
sigma38,RDBECOLIPMC03014,BINDS
sigma70,RDBECOLIPMC00501,BINDS
sigma38,RDBECOLIPMC00503,BINDS
sigma38,RDBECOLIPMC00507,BINDS
sigma70,RDBECOLIPMC00509,BINDS
sigma70,RDBECOLIPMC00511,BINDS
sigma70,RDBECOLIPMC00512,BINDS
sigma70,RDBECOLIPMC00513,BINDS
sigma70,RDBECOLIPMC00514,BINDS
sigma70,RDBECOLIPMC00231,BINDS
sigma70,RDBECOLIPMC00230,BINDS
sigma70,RDBECOLIPMC00518,BINDS
sigma70,RDBECOLIPMC00520,BINDS
sigma70,RDBECOLIPMC00521,BINDS
sigma70,RDBECOLIPMC03051,BINDS
sigma70,RDBECOLIPMC00522,BINDS
sigma70,RDBECOLIPMC00523,BINDS
sigma70,RDBECOLIPMC00524,BINDS
sigma70,RDBECOLIPMC00525,BINDS
sigma70,RDBECOLIPMC00529,BINDS
sigma38,RDBECOLIPMC00573,BINDS
sigma54,RDBECOLIPMC00587,BINDS
sigma70,RDBECOLIPMC00588,BINDS
sigma70,RDBECOLIPMC00589,BINDS
sigma70,RDBECOLIPMC03714,BINDS
sigma70,RDBECOLIPMC00591,BINDS
sigma38,RDBECOLIPMC00592,BINDS
sigma38,RDBECOLIPMC03830,BINDS
sigma38,RDBECOLIPMC00593,BINDS
sigma38,RDBECOLIPMC03826,BINDS
sigma70,RDBECOLIPMC00596,BINDS
sigma70,RDBECOLIPMC03952,BINDS
sigma70,RDBECOLIPMC02784,BINDS
sigma38,RDBECOLIPMC00597,BINDS
sigma38,RDBECOLIPMC00598,BINDS
sigma24,RDBECOLIPMC00599,BINDS
sigma70,RDBECOLIPMC00600,BINDS
sigma24,RDBECOLIPMC00601,BINDS
sigma24,RDBECOLIPMC00602,BINDS
sigma70,RDBECOLIPMC01037,BINDS
sigma24,RDBECOLIPMC01049,BINDS
sigma38,RDBECOLIPMC01183,BINDS
sigma70,RDBECOLIPMC01248,BINDS
sigma70,RDBECOLIPMC01261,BINDS
sigma70,RDBECOLIPMC00603,BINDS
sigma24,RDBECOLIPMC00605,BINDS
sigma24,RDBECOLIPMC00606,BINDS
sigma70,RDBECOLIPMC01364,BINDS
sigma70,RDBECOLIPMC00608,BINDS
sigma24,RDBECOLIPMC00609,BINDS
sigma70,RDBECOLIPMC01443,BINDS
sigma24,RDBECOLIPMC00610,BINDS
sigma24,RDBECOLIPMC00618,BINDS
sigma70,RDBECOLIPMC03607,BINDS
sigma24,RDBECOLIPMC00732,BINDS
sigma24,RDBECOLIPMC00743,BINDS
sigma24,RDBECOLIPMC00903,BINDS
sigma24,RDBECOLIPMC00914,BINDS
sigma24,RDBECOLIPMC01114,BINDS
sigma38,RDBECOLIPMC02407,BINDS
sigma38,RDBECOLIPMC02408,BINDS
