src,dst,edge_type
RDBECOLIPMC00292,RDBECOLIGNC03257,DRIVES
RDBECOLIPMC00292,RDBECOLIGNC03256,DRIVES
RDBECOLIPMC03281,RDBECOLIGNC02067,DRIVES
RDBECOLIPMC03323,RDBECOLIGNC01278,DRIVES
RDBECOLIPMC03324,RDBECOLIGNC01229,DRIVES
RDBECOLIPMC03324,RDBECOLIGNC01228,DRIVES
RDBECOLIPMC03324,RDBECOLIGNC00598,DRIVES
RDBECOLIPMC03324,RDBECOLIGNC00599,DRIVES
RDBECOLIPMC03324,RDBECOLIGNC00844,DRIVES
RDBECOLIPMC00294,RDBECOLIGNC02857,DRIVES
RDBECOLIPMC00294,RDBECOLIGNC03277,DRIVES
RDBECOLIPMC00294,RDBECOLIGNC03276,DRIVES
RDBECOLIPMC03326,RDBECOLIGNC01641,DRIVES
RDBECOLIPMC03326,RDBECOLIGNC00622,DRIVES
RDBECOLIPMC02453,RDBECOLIGNC03299,DRIVES
RDBECOLIPMC03275,RDBECOLIGNC02409,DRIVES
RDBECOLIPMC02511,RDBECOLIGNC03306,DRIVES
RDBECOLIPMC02527,RDBECOLIGNC02263,DRIVES
RDBECOLIPMC02527,RDBECOLIGNC03315,DRIVES
RDBECOLIPMC02527,RDBECOLIGNC03314,DRIVES
RDBECOLIPMC02527,RDBECOLIGNC03313,DRIVES
RDBECOLIPMC02527,RDBECOLIGNC03312,DRIVES
RDBECOLIPMC00911,RDBECOLIGNC02274,DRIVES
RDBECOLIPMC00913,RDBECOLIGNC03318,DRIVES
RDBECOLIPMC00540,RDBECOLIGNC03324,DRIVES
RDBECOLIPMC00540,RDBECOLIGNC03323,DRIVES
RDBECOLIPMC03328,RDBECOLIGNC03335,DRIVES
RDBECOLIPMC03328,RDBECOLIGNC03334,DRIVES
RDBECOLIPMC03328,RDBECOLIGNC03333,DRIVES
RDBECOLIPMC03328,RDBECOLIGNC03332,DRIVES
RDBECOLIPMC03328,RDBECOLIGNC02264,DRIVES
RDBECOLIPMC03190,RDBECOLIGNC00217,DRIVES
RDBECOLIPMC03095,RDBECOLIGNC02917,DRIVES
RDBECOLIPMC00041,RDBECOLIGNC03355,DRIVES
RDBECOLIPMC00041,RDBECOLIGNC03354,DRIVES
RDBECOLIPMC02509,RDBECOLIGNC03361,DRIVES
RDBECOLIPMC00044,RDBECOLIGNC01020,DRIVES
RDBECOLIPMC02441,RDBECOLIGNC02350,DRIVES
RDBECOLIPMC02441,RDBECOLIGNC03368,DRIVES
RDBECOLIPMC00045,RDBECOLIGNC00935,DRIVES
RDBECOLIPMC02499,RDBECOLIGNC00025,DRIVES
RDBECOLIPMC03065,RDBECOLIGNC00511,DRIVES
RDBECOLIPMC03065,RDBECOLIGNC03375,DRIVES
RDBECOLIPMC00046,RDBECOLIGNC03376,DRIVES
RDBECOLIPMC00047,RDBECOLIGNC01227,DRIVES
RDBECOLIPMC00048,RDBECOLIGNC03378,DRIVES
RDBECOLIPMC00048,RDBECOLIGNC03377,DRIVES
RDBECOLIPMC00049,RDBECOLIGNC00090,DRIVES
RDBECOLIPMC00542,RDBECOLIGNC03399,DRIVES
RDBECOLIPMC00542,RDBECOLIGNC03398,DRIVES
RDBECOLIPMC00052,RDBECOLIGNC03400,DRIVES
RDBECOLIPMC00527,RDBECOLIGNC03401,DRIVES
RDBECOLIPMC03267,RDBECOLIGNC03403,DRIVES
RDBECOLIPMC03040,RDBECOLIGNC01098,DRIVES
RDBECOLIPMC02514,RDBECOLIGNC03411,DRIVES
